date,adj_close,30_mavg,26_ema,12_ema,MACD,Signal,Crossover,company
2004-06-02,28.0178508758545,28.075597635904952,28.333429130044635,28.028906671384778,-0.30452245865985716,-0.24116293768969402,-0.06335952097016315,CCL
2004-06-03,27.7841892242432,28.02211780548096,28.313086911311245,28.01008225237389,-0.30300465893735407,-0.24734710981446004,-0.05565754912289403,CCL
2004-06-04,28.1179714202881,27.97089061737061,28.30586041164372,28.01838141913652,-0.2874789925072001,-0.25136029808373406,-0.03611869442346605,CCL
2004-06-07,28.6320114135742,27.942565600077316,28.317940078381888,28.06558372640096,-0.25235635198092865,-0.25145990347345354,-0.0008964485074751116,CCL
2004-06-08,28.8856773376465,27.934453264872236,28.338967384280576,28.12866785034292,-0.2102995339376541,-0.24734386651987358,0.03704433258221948,CCL
2004-06-09,28.7721862792969,27.924776776631678,28.35501252854044,28.178169267954765,-0.1768432605856738,-0.2402938059264536,0.06345054534077982,CCL
2004-06-10,28.9390811920166,27.92554372151693,28.376644701261778,28.23670095442106,-0.13994374684071786,-0.23025880001788002,0.09031505317716215,CCL
2004-06-14,28.7121105194092,27.925843429565433,28.38906936119316,28.27327092095861,-0.11579844023455266,-0.21881276403954728,0.10301432380499462,CCL
2004-06-15,29.1059799194336,27.949477068583175,28.41562160409096,28.33732545930284,-0.07829614478811919,-0.2047611021144045,0.1264649573262853,CCL
2004-06-16,29.0792846679688,27.971776835123702,28.440201717567913,28.39439924458484,-0.04580247298307327,-0.18886523920127135,0.14306276621819808,CCL
2004-06-17,30.1807651519775,28.02369397481283,28.504667029953456,28.53181200669197,0.027144976738512128,-0.167264217607293,0.19440919434580511,CCL
2004-06-18,30.207462310791,28.072286160786952,28.567733521836328,28.660708183930357,0.09297466209402927,-0.14124032963716074,0.23421499173119,CCL
2004-06-21,30.4678192138672,28.141314442952478,28.638107065985622,28.79971672469473,0.16160965870910715,-0.11095533080253393,0.2725649895116411,CCL
2004-06-22,30.4878311157227,28.23696384429932,28.706615364124033,28.929571677850728,0.22295631372669433,-0.0775641663496111,0.30052048007630544,CCL
2004-06-23,31.1086959838867,28.371055730183922,28.795581313004135,29.09719662446888,0.30161531146474374,-0.039646218568175594,0.3412615300329193,CCL
2004-06-24,31.2021579742432,28.502051544189456,28.884713781938917,29.259116728297673,0.3744029463587566,0.0017586979245176448,0.37264424843423893,CCL
2004-06-25,31.3289852142334,28.63860581715902,28.97524235350538,29.41833738106196,0.4430950275565806,0.04589233088772396,0.39720269666885666,CCL
2004-06-28,31.3756999969482,28.775164667765303,29.06414819215141,29.56890373613013,0.504755543978721,0.09177865219682368,0.41297689178189734,CCL
2004-06-29,31.362361907959,28.908172925313316,29.1492672186628,29.706862057040045,0.5575948383772449,0.13836027081486585,0.41923456756237903,CCL
2004-06-30,31.3756999969482,29.06336568196615,29.231727691932633,29.83523420626375,0.6035065143311158,0.18487489516649086,0.41863161916462494,CCL
2004-07-01,31.9164390563965,29.231259091695154,29.331161446172036,29.99532688704319,0.6641654408711553,0.23280394973695728,0.43136149113419797,CCL
2004-07-02,31.9164390563965,29.399486096700038,29.42691246877294,30.143104746224214,0.7161922774512739,0.2811427825083889,0.435049494942885,CCL
