date,adj_close,20_ma,20_sd,Upper_Band,Lower_Band,company
2000-07-06,40.1009941101074,39.642320060729986,1.2063184236251545,42.0549569079803,37.229683213479674,AVY
2000-07-07,38.9402656555176,39.70971603393555,1.1203505518892738,41.9504171377141,37.469014930157,AVY
2000-07-10,38.6032791137695,39.74715805053712,1.0662929563604817,41.87974396325808,37.614572137816154,AVY
2000-07-11,38.9402656555176,39.80706577301026,0.9776910633363811,41.76244789968302,37.8516836463375,AVY
2000-07-12,38.9028358459473,39.861358451843266,0.8873367010903631,41.63603185402399,38.08668504966254,AVY
2000-07-13,40.512866973877,39.934372138977054,0.8773076098262417,41.68898735862954,38.17975691932457,AVY
2000-07-14,39.3146934509277,39.96432571411133,0.8430648822712433,41.65045547865382,38.27819594956885,AVY
2000-07-17,38.2475700378418,39.873526954650885,0.9255702869191965,41.72466752848928,38.02238638081249,AVY
2000-07-18,38.2288589477539,39.763070678710946,0.9845981161662278,41.7322669110434,37.79387444637849,AVY
2000-07-19,38.6407318115234,39.71626796722413,1.0156762913500883,41.74762054992431,37.68491538452395,AVY
2000-07-20,38.678165435791,39.66384849548341,1.041834497222083,41.747517489927574,37.58017950103924,AVY
2000-07-21,39.1274871826172,39.65261535644532,1.0465725284095166,41.74576041326435,37.559470299626284,AVY
2000-07-24,38.7156219482422,39.59832401275635,1.0664210024227334,41.731166017601815,37.465482007910886,AVY
2000-07-25,37.105583190918,39.457914733886724,1.199293156579647,41.85650104704602,37.05932842072743,AVY
2000-07-26,31.7887535095215,38.959929466247566,1.9991765723117163,42.958282610870995,34.961576321624136,AVY
2000-07-27,32.312931060791,38.54244403839112,2.446640195413042,43.4357244292172,33.64916364756503,AVY
2000-07-28,33.3613319396973,38.20546092987061,2.6742299296396186,43.55392078914985,32.85700107059137,AVY
2000-07-31,32.5001602172852,37.819803428649905,2.9147805894863987,43.6493646076227,31.99024224967711,AVY
2000-08-01,32.3878211975098,37.368620300292974,3.0258353420713364,43.420290984435645,31.316949616150303,AVY
2000-08-02,33.2490005493164,36.982960891723636,3.03523848140764,43.05343785453891,30.912483928908355,AVY
2000-08-03,32.2380676269531,36.589814567565924,3.1182095101995797,42.826233587965085,30.353395547166762,AVY
2000-08-04,32.4627151489258,36.26593704223633,3.196641137742922,42.659219317722176,29.872654766750486,AVY
2000-08-07,33.9229774475098,36.03192195892335,3.1878288868551876,42.40757973263372,29.656264185212972,AVY
2000-08-08,34.2973861694336,35.79977798461915,3.133479166718224,42.0667363180556,29.5328196511827,AVY
2000-08-09,34.1101760864258,35.560144996643075,3.066220450600953,41.69258589784498,29.427704095441168,AVY
2000-08-10,34.147632598877,35.24188327789307,2.8476433011362725,40.93716988016562,29.546596675620528,AVY
2000-08-11,35.1585655212402,35.034076881408694,2.681592851609128,40.39726258462695,29.670891178190438,AVY
2000-08-14,35.1585655212402,34.87962665557862,2.5735468656480154,40.02672038687465,29.732532924282587,AVY
2000-08-15,34.7092628479004,34.70364685058594,2.4498336674876033,39.603314185561146,29.803979515610735,AVY
2000-08-16,34.6343879699707,34.50332965850831,2.2680113503710486,39.0393523592504,29.96730695776621,AVY
2000-08-17,34.9713592529297,34.31798934936524,2.049857652990311,38.417704655345865,30.218274043384618,AVY
2000-08-18,34.0727272033691,34.06525135040284,1.708920338489355,37.48309202738155,30.64741067342413,AVY
2000-08-21,33.2115478515625,33.790047645568855,1.3194075051114738,36.428862655791804,31.151232635345906,AVY
2000-08-22,33.2490005493164,33.59721851348878,1.0670219661986844,35.731262445886145,31.46317458109141,AVY
2000-08-23,32.9869003295898,33.65712585449219,0.9910745490989223,35.63927495269004,31.67497675629435,AVY
2000-08-24,33.1741256713867,33.70018558502198,0.9473423546444243,35.59487029431082,31.805500875733127,AVY
2000-08-25,33.1741256713867,33.69082527160645,0.9517811040802728,35.59438747976699,31.787263063445906,AVY
2000-08-28,33.0992279052734,33.72077865600586,0.9212753802583104,35.563329416522485,31.878227895489243,AVY
2000-08-29,32.7996940612793,33.74137229919434,0.8941140125350386,35.529600324264415,31.953144274124263,AVY
2000-08-30,32.5375938415527,33.70580196380616,0.928232761775393,35.56226748735695,31.849336440255374,AVY
2000-08-31,32.3878211975098,33.71328964233399,0.9162972699312336,35.54588418219646,31.880695102471524,AVY
2000-09-01,31.8354110717773,33.68192443847657,0.9704917064294276,35.62290785133543,31.740941025617715,AVY
2000-09-05,32.0235633850098,33.58695373535157,1.036362440009032,35.659678615369636,31.514228855333506,AVY
2000-09-06,31.2333106994629,33.43374996185303,1.1464450409595848,35.7266400437722,31.140859879933863,AVY
2000-09-07,29.9915103912354,33.227816677093514,1.3672038120685375,35.96222430123059,30.49340905295644,AVY
2000-09-08,29.2012577056885,32.98049793243409,1.616680543290018,36.21385901901412,29.747136845854055,AVY
2000-09-11,28.5239276885986,32.64876604080201,1.8147869609683491,36.278339962738706,29.019192118865313,AVY
2000-09-12,28.7497062683105,32.32832307815552,1.9115367528382226,36.15139658383197,28.505249572479077,AVY
2000-09-13,28.5239276885986,32.01905632019044,2.004168208258126,36.02739273670669,28.010719903674186,AVY
2000-09-14,27.6584129333496,31.670257568359382,2.1282455543937377,35.92674867714686,27.413766459571907,AVY
2000-09-15,26.9810695648193,31.270743083953864,2.2237726241186633,35.71828833219119,26.823197835716538,AVY
